As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests
21/11/2021,,12401,,,,213,12115,1,0,,
22/11/2021,,12404,,,,213,12119,1,0,,
23/11/2021,,12410,,,,213,12121,1,0,,
24/11/2021,,12411,,,,213,12123,1,0,,
25/11/2021,,12417,,,,213,12125,1,0,,
26/11/2021,,12421,,,,213,12128,1,0,,
27/11/2021,,12424,,,,213,12130,1,0,,
28/11/2021,,12427,,,,213,12133,1,0,,
29/11/2021,,12430,,,,213,12134,1,0,,
30/11/2021,,12436,,,,213,12136,1,0,,
01/12/2021,,12439,,,,213,12140,1,0,,
02/12/2021,,12445,,,,213,12143,1,0,,
03/12/2021,,12448,,,,213,12145,1,0,,
04/12/2021,,12452,,,,213,12148,1,0,,
05/12/2021,,12461,,,,213,12149,1,1,,
06/12/2021,,12466,,,,213,12151,1,1,,
07/12/2021,,12471,,,,213,12153,1,0,,
08/12/2021,,12471,,,,213,12155,1,0,,
09/12/2021,,12478,,,,213,12156,1,0,,
10/12/2021,,12482,,,,213,12159,1,0,,
11/12/2021,,12483,,,,213,12165,1,0,,
12/12/2021,,12488,,,,213,12168,1,0,,
13/12/2021,,12490,,,,213,12173,1,0,,
14/12/2021,,12495,,,,213,12180,1,0,,
15/12/2021,,12496,,,,213,12180,1,0,,
16/12/2021,,12506,,,,213,12180,1,0,,
17/12/2021,,12513,,,,213,12180,1,0,,
18/12/2021,,12518,,,,213,12182,1,0,,
19/12/2021,,12526,,,,213,12184,1,0,,
20/12/2021,,12533,,,,213,12184,1,0,,
21/12/2021,,12541,,,,213,12184,1,0,,
22/12/2021,,12548,,,,213,12184,1,0,,
23/12/2021,,12550,,,,213,12186,1,0,,
24/12/2021,,12555,,,,213,12189,1,0,,
25/12/2021,,12580,,,,213,12189,1,0,,
26/12/2021,,12589,,,,213,12189,1,0,,
27/12/2021,,12598,,,,213,12189,1,0,,
28/12/2021,,12604,,,,213,12189,1,0,,
29/12/2021,,12618,,,,213,12191,1,0,,
30/12/2021,,12630,,,,213,12196,1,0,,
31/12/2021,,12649,,,,213,12206,1,0,,
01/01/2022,,,,,,213,12209,,0,12667,
02/01/2022,,,,,,213,12214,,0,12693,
03/01/2022,,,,,,213,12219,,0,12722,
04/01/2022,,,,,,213,12228,,0,12761,
05/01/2022,,,,,,213,12230,,0,12799,
06/01/2022,,,,,,213,12235,,0,12832,
07/01/2022,,,,,,213,12235,,0,12865,
08/01/2022,,,,,,213,12243,,0,12902,
09/01/2022,,,,,,213,12284,,0,12935,
10/01/2022,,,,,,213,12296,,0,12959,
11/01/2022,,,,,,213,12304,,0,12980,
12/01/2022,,,,,,213,12316,,0,13002,
13/01/2022,,,,,,213,12327,,0,13016,
14/01/2022,,,,,,213,12339,,0,13025,
15/01/2022,,,,,,213,12366,,0,13030,
16/01/2022,,,,,,213,12393,,0,13041,
17/01/2022,,,,,,213,12416,,0,13048,
18/01/2022,,,,,,213,12446,,0,13066,
19/01/2022,,,,,,213,12474,,0,13082,
20/01/2022,,,,,,213,12493,,0,13096,
21/01/2022,,,,,,213,12514,,0,13120,
22/01/2022,,,,,,213,12541,,0,13146,
23/01/2022,,,,,,213,12572,,0,13286,
24/01/2022,,,,,,213,12602,,0,13395,
25/01/2022,,,,,,213,12623,,0,13519,
26/01/2022,,,,,,213,12655,,0,13626,
27/01/2022,,,,,,213,12687,,0,13790,
28/01/2022,,,,,,213,12710,,0,13905,
29/01/2022,,,,,,213,12730,,0,14024,
30/01/2022,,,,,,213,12752,,0,14105,
31/01/2022,,,,,,213,12780,,0,14197,
01/02/2022,,,,,,213,12806,,0,14326,
02/02/2022,,,,,,213,12826,,1,14442,
03/02/2022,,,,,,213,12880,,1,14584,
04/02/2022,,,,,,213,12916,,1,14715,
05/02/2022,,,,,,213,12987,,1,15066,
06/02/2022,,,,,,213,13125,,1,15408,
07/02/2022,,,,,,213,13232,,1,16022,
08/02/2022,,,,,,213,13315,,2,16647,
09/02/2022,,,,,,215,13436,,2,17808,
10/02/2022,,,,,,216,13795,,1,18794,
11/02/2022,,,,,,216,14037,,2,20119,
12/02/2022,,,,,,219,14183,,3,21633,
13/02/2022,,,,,,219,14463,,4,22980,
14/02/2022,,,,,,221,14963,,8,25051,
15/02/2022,,,,,,224,14996,,8,26670,
16/02/2022,,,,,,227,15234,,16,30955,
17/02/2022,,,,,,238,15448,,0,37071,
18/02/2022,,,,,,259,15699,,16,40700,
19/02/2022,,,,,,276,15963,,16,46763,
20/02/2022,,,,,,288,16190,,16,52830,
21/02/2022,,,,,,300,16449,,16,60363,
22/02/2022,,,,,,336,16740,,16,66574,
23/02/2022,,,,,,385,17015,,16,75248,
24/02/2022,,,,,,425,17272,,16,84046,
25/02/2022,,,,,,497,17562,,16,94056,
26/02/2022,,,,,,577,17855,,16,138955,29635
27/02/2022,,,,,,659,18236,,16,171314,48252
28/02/2022,,,,,,744,18926,,16,205780,69964
01/03/2022,,,,,,990,19495,,16,238377,93025
02/03/2022,,,,,,1168,20085,,16,293730,114013
03/03/2022,,,,,,1366,22649,,16,350557,134177
04/03/2022,,,,,,1554,23143,,60,403080,154336
05/03/2022,,,,,,1774,23888,,61,440609,184390
06/03/2022,,,,,,2007,24513,,61,471617,193183
07/03/2022,,,,,,2287,24276,,68,496767,204428
08/03/2022,,,,,,2578,25054,,69,525242,214704
09/03/2022,,,,,,2869,25861,,68,551233,219174
10/03/2022,,,,,,3150,26740,,71,575623,226186
11/03/2022,,,,,,3444,27617,,76,594511,236679
12/03/2022,,,,,,3729,28577,,85,610300,248537
13/03/2022,,,,,,3993,29318,,101,623635,267632
14/03/2022,,,,,,4279,29693,,104,635675,282500
15/03/2022,,,,,,4568,30598,,111,647631,298309
16/03/2022,,,,,,4847,31656,,119,662085,313127
17/03/2022,,,,,,5136,32768,,119,670713,326149
18/03/2022,,,,,,5401,33842,,115,678679,338265
19/03/2022,,,,,,5650,35026,,119,686207,347334
20/03/2022,,,,,,5896,35868,,115,692083,355607
21/03/2022,,,,,,6119,36260,,117,696606,365152
22/03/2022,,,,,,6364,37496,,114,700902,375008
23/03/2022,,,,,,6569,38954,,103,705152,382998
24/03/2022,,,,,,6770,40339,,108,710884,390340
25/03/2022,,,,,,6962,41732,,105,715462,396167
26/03/2022,,,,,,7101,43179,,105,719346,401124
27/03/2022,,,,,,7252,44007,,110,722901,405606
28/03/2022,,,,,,7420,44418,,108,726128,410064
29/03/2022,,,,,,7571,45671,,97,729292,414496
30/03/2022,,,,,,7706,47140,,89,732286,418483
31/03/2022,,,,,,7825,48556,,84,735145,422270
